n dBIC13 dBIC12 dBIC23 broken dmuRel mp mact lact
1 -43.7939684599562 -25.3729049164913 -18.4210635434649 0 NA NA 16.667 0
1 -37.990370436245 -11.1284978078284 -26.8618726284167 0 NA NA 16.667 0
1 -47.6052530218037 -26.5190770225995 -21.0861759992042 0 NA NA 16.667 0
1 -34.5406913674415 -16.9235227962952 -17.6171685711463 0 NA NA 16.667 0
1 -33.1687335146362 -6.02656690135109 -27.1421666132851 0 NA NA 16.667 0
1 -50.4856997960856 -26.1212514566078 -24.3644483394778 0 NA NA 16.667 0
1 -44.7657987871016 -17.3528706327374 -27.4129281543642 0 NA NA 16.667 0
1 -46.0946632126438 -26.3661686641253 -19.7284945485185 0 NA NA 16.667 0
1 -46.7260268632724 -26.1707076188563 -20.5553192444161 0 NA NA 16.667 0
1 -46.3522429424827 -26.5053264511289 -19.8469164913538 0 NA NA 16.667 0
1 -49.7645585302359 -26.574088972681 -23.1904695575549 0 NA NA 16.667 0
1 -49.8516481277261 -23.8454709479502 -26.0061771797759 0 NA NA 16.667 0
1 -37.6595087645619 -26.2223422544969 -11.437166510065 0 NA NA 16.667 0
1 -48.0413041315453 -20.6515698470555 -27.3897342844898 0 NA NA 16.667 0
1 -44.3505819642926 -17.3178144258504 -27.0327675384422 0 NA NA 16.667 0
1 -51.9852277056902 -26.2783202986425 -25.7069074070478 0 NA NA 20 0
1 -47.1276616199782 -25.2192867153365 -21.9083749046417 0 NA NA 20 0
1 -42.7408431694112 -25.8059508369604 -16.9348923324508 0 NA NA 20 0
1 -47.5912666788267 -26.6142721535016 -20.9769945253252 0 NA NA 20 0
1 -41.3310639978265 -18.2781914270042 -23.0528725708223 0 NA NA 20 0
1 -40.4797400016648 -26.4129734838018 -14.066766517863 0 NA NA 20 0
1 -42.2096000440654 -13.9667940796646 -28.2428059644008 0 NA NA 20 0
1 -50.9785764484211 -25.8253667952331 -25.153209653188 0 NA NA 20 0
1 -37.3756385714855 -10.3025074571069 -27.0731311143786 0 NA NA 20 0
1 -37.4900622037064 -14.3588095476223 -23.1312526560841 0 NA NA 20 0
1 -42.9058023116172 -26.4045417854063 -16.5012605262109 0 NA NA 20 0
1 -48.4544454071286 -24.6690025513317 -23.7854428557969 0 NA NA 20 0
1 -41.7819403105261 -15.1328595053296 -26.6490808051965 0 NA NA 20 0
1 -39.8680946294219 -12.8538727812202 -27.0142218482017 0 NA NA 20 0
1 -50.5147373488369 -26.5560888010498 -23.9586485477871 0 NA NA 20 0
1 -48.98529063622 -26.4646849312853 -22.5206057049347 0 NA NA 20 0
1 -38.0312472034775 -11.4899122133522 -26.5413349901253 0 NA NA 20 0
1 -37.2686531725446 -15.7628423297308 -21.5058108428138 0 NA NA 20 0
1 -43.0704823612248 -26.2097694499803 -16.8607129112445 0 NA NA 20 0
1 -48.4465572625459 -26.5635866746566 -21.8829705878893 0 NA NA 20 0
1 -40.6735970230843 -26.4299862919443 -14.2436107311401 0 NA NA 20 0
1 -46.0606752003025 -18.273304505241 -27.7873706950616 0 NA NA 20 0
1 -38.8852497428948 -14.3354701095168 -24.549779633378 0 NA NA 20 0
1 -51.4895118062486 -26.5975014800429 -24.8920103262058 0 NA NA 20 0
1 -35.5094618655307 -8.66953286280182 -26.8399290027289 0 NA NA 20 0
1 -52.0642426513723 -26.2684658837381 -25.7957767676342 0 NA NA 20 0
1 -46.0006093586321 -20.1167854331047 -25.8838239255274 0 NA NA 20 0
1 -42.9207910618973 -20.0343897837183 -22.8864012781789 0 NA NA 20 0
1 -42.5041598855794 -26.024893914446 -16.4792659711334 0 NA NA 20 0
1 -27.5619263733588 -0.116332779908362 -27.4455935934504 0 NA NA 20 0
1 -36.1827996848212 -12.2081986578039 -23.9746010270173 0 NA NA 23.333 0
1 -47.7883849932871 -25.8969941486012 -21.8913908446859 0 NA NA 23.333 0
1 -47.6501104653426 -23.282160948597 -24.3679495167455 0 NA NA 23.333 0
1 -49.7779192797911 -25.9648731306265 -23.8130461491646 0 NA NA 23.333 0
1 -50.0370388092265 -26.2545903071182 -23.7824485021083 0 NA NA 23.333 0
1 -37.7842114153348 -13.4985773281242 -24.2856340872106 0 NA NA 23.333 0
1 -50.5729381226863 -26.6737444437542 -23.8991936789321 0 NA NA 23.333 0
1 -42.0156029632699 -26.479645227088 -15.5359577361819 0 NA NA 23.333 0
1 -39.9902242641128 -20.1571719244066 -19.8330523397062 0 NA NA 23.333 0
1 -44.5504791653641 -26.2189543956961 -18.331524769668 0 NA NA 23.333 0
1 -39.5242470201515 -26.3559078299372 -13.1683391902143 0 NA NA 23.333 0
1 -48.0203588724362 -25.2671205302381 -22.7532383421981 0 NA NA 23.333 0
2 -23.9367866060988 1.22859422885904 -25.1653808349579 0 0.166117917749649 NA 23.333 0
1 -48.4912068435838 -26.5156385031696 -21.9755683404142 0 NA NA 23.333 0
